Resume,JobDescription,ExperienceYears,ATS_Score
"Professional Summary:
Results-driven Java Developer with 3 years of experience in
REST APIs, Java, SQL, Multithreading. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
REST APIs, Java, SQL, Multithreading, MySQL, Design Patterns, Spring Boot, Git, Project Management, Scrum

Experience:
Java Developer at DataWave Analytics
- Designed backend systems using Docker, across 5 production environments.
- Developed Spring Boot microservices using Kafka, by 20%.

Education:
M.Tech in Computer Science, Indian Institute of Technology

Certifications:
Oracle Certified Java Programmer","We are looking for a Java Developer with at least 4 years of experience.
Required Skills: Spring Boot, JUnit, Kafka, REST APIs, Hibernate, JPA.
Responsibilities include working on REST APIs, Spring Boot microservices
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",3,79.9
"Professional Summary:
Results-driven DevOps Engineer with 12 years of experience in
Jenkins, Bash Scripting, Linux, AWS. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Jenkins, Bash Scripting, Linux, AWS, Monitoring, GitLab CI, Prometheus, Ansible, Time Management, Team Leadership

Experience:
DevOps Engineer at CloudNine Technologies
- Optimized infrastructure as code using Monitoring, by 20%.
- Streamlined monitoring systems using AWS, by 35%.
- Engineered CI/CD pipelines using Docker, reducing latency by 25%.

Education:
M.Sc in Data Science, National Institute of Technology

Certifications:
Google Data Analytics Certificate","We are looking for a DevOps Engineer with at least 2 years of experience.
Required Skills: Grafana, AWS, Bash Scripting, Prometheus, CI/CD, Docker.
Responsibilities include working on container orchestration, deployment automation
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",12,82.8
"Professional Summary:
Results-driven Software Engineer with 9 years of experience in
Git, Agile, SQL, System Design. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Git, Agile, SQL, System Design, Microservices, Python, CI/CD, Unit Testing, Agile, Scrum

Experience:
Software Engineer at Pinnacle IT Services
- Built backend services using Unit Testing, reducing latency by 25%.
- Automated scalable systems using REST APIs, for over 10,000 users.

Education:
M.Tech in Computer Science, Delhi Technological University

Certifications:
Certified Kubernetes Administrator","We are looking for a Software Engineer with at least 5 years of experience.
Required Skills: REST APIs, Unit Testing, SQL, Java, Data Structures, Design Patterns.
Responsibilities include working on backend services, software modules
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",9,78.4
"Professional Summary:
Results-driven DevOps Engineer with 2 years of experience in
Prometheus, Ansible, AWS, Git. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Prometheus, Ansible, AWS, Git, Terraform, Infrastructure as Code, CI/CD, Docker, Scrum, Project Management

Experience:
DevOps Engineer at DataWave Analytics
- Streamlined container orchestration using Docker, improving performance by 40%.
- Optimized release pipelines using Infrastructure as Code, by 35%.
- Created container orchestration using GitLab CI, improving performance by 40%.
- Managed monitoring systems using Jenkins, across 5 production environments.

Education:
M.Sc in Data Science, Anna University

Certifications:
Scrum Master Certification","We are looking for a DevOps Engineer with at least 5 years of experience.
Required Skills: Azure DevOps, Linux, Docker, Bash Scripting, GitLab CI, Infrastructure as Code.
Responsibilities include working on infrastructure as code, monitoring systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",2,75.9
"Professional Summary:
Results-driven Cloud Engineer with 8 years of experience in
Kubernetes, Lambda, Terraform, AWS. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Kubernetes, Lambda, Terraform, AWS, Networking, CloudFormation, DevOps, Python, Team Leadership, Problem Solving

Experience:
Cloud Engineer at NexGen Software
- Streamlined cloud security policies using Docker, for over 10,000 users.
- Designed cloud security policies using S3, reducing latency by 25%.
- Created auto-scaling systems using AWS, improving performance by 40%.
- Architected cloud migrations using AWS, resulting in 15% cost savings.

Education:
M.Sc in Data Science, VIT University

Certifications:
Google Data Analytics Certificate","We are looking for a Cloud Engineer with at least 3 years of experience.
Required Skills: Terraform, AWS, Google Cloud Platform, Azure, DevOps, Docker.
Responsibilities include working on serverless architectures, cloud migrations
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",8,75.4
"Professional Summary:
Results-driven Cloud Engineer with 4 years of experience in
Python, DevOps, Google Cloud Platform, Kubernetes. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Python, DevOps, Google Cloud Platform, Kubernetes, Terraform, Docker, S3, CloudFormation, Communication, Project Management

Experience:
Cloud Engineer at DataWave Analytics
- Built cloud infrastructure using Kubernetes, across 5 production environments.
- Automated multi-region deployments using Docker, improving performance by 40%.

Education:
MCA, VIT University

Certifications:
Scrum Master Certification","We are looking for a Cloud Engineer with at least 3 years of experience.
Required Skills: AWS, S3, CloudFormation, DevOps, Security, IAM.
Responsibilities include working on multi-region deployments, auto-scaling systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",4,82.1
"Professional Summary:
Results-driven Cloud Engineer with 5 years of experience in
Networking, Security, IAM, Azure. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Networking, Security, IAM, Azure, Google Cloud Platform, S3, DevOps, Lambda, Project Management, Problem Solving

Experience:
Cloud Engineer at DataWave Analytics
- Managed cloud migrations using Python, reducing latency by 25%.
- Designed cloud migrations using Security, resulting in 15% cost savings.

Education:
B.Tech in Electronics and Communication, Indian Institute of Technology

Certifications:
Microsoft Certified: Azure Fundamentals","We are looking for a Cloud Engineer with at least 4 years of experience.
Required Skills: IAM, DevOps, Networking, AWS, Linux, EC2.
Responsibilities include working on serverless architectures, multi-region deployments
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",5,80.4
"Professional Summary:
Results-driven Software Engineer with 10 years of experience in
Microservices, SQL, Algorithms, System Design. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Microservices, SQL, Algorithms, System Design, C++, Unit Testing, Design Patterns, Python, Scrum, Team Leadership

Experience:
Software Engineer at Quantum Softworks
- Architected automated tests using SQL, resulting in 15% cost savings.
- Streamlined software modules using Unit Testing, by 20%.
- Managed scalable systems using System Design, by 35%.

Education:
M.Sc in Data Science, Pune University

Certifications:
TensorFlow Developer Certificate","We are looking for a Software Engineer with at least 5 years of experience.
Required Skills: Git, Agile, C++, Object Oriented Programming, Python, Java.
Responsibilities include working on software modules, automated tests
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,83.0
"Professional Summary:
Results-driven Cloud Engineer with 2 years of experience in
DevOps, EC2, IAM, S3. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
DevOps, EC2, IAM, S3, AWS, Azure, Kubernetes, Google Cloud Platform, Agile, Project Management

Experience:
Cloud Engineer at Innovate Systems
- Architected cloud security policies using AWS, across 5 production environments.
- Designed auto-scaling systems using Linux, across 5 production environments.

Education:
M.Tech in Computer Science, Pune University

Certifications:
AWS Certified Solutions Architect","We are looking for a Cloud Engineer with at least 1 years of experience.
Required Skills: CloudFormation, IAM, Azure, Python, Terraform, Lambda.
Responsibilities include working on cloud migrations, cloud infrastructure
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",2,79.1
"Professional Summary:
Results-driven AI Engineer with 9 years of experience in
TensorFlow, Computer Vision, Hugging Face, Docker. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
TensorFlow, Computer Vision, Hugging Face, Docker, Model Deployment, Python, Keras, Kubernetes, Problem Solving, Team Leadership

Experience:
AI Engineer at Vertex Solutions
- Deployed chatbots using Docker, reducing latency by 25%.
- Implemented chatbots using TensorFlow, resulting in 15% cost savings.
- Led chatbots using Python, by 35%.
- Designed computer vision systems using CUDA, resulting in 15% cost savings.

Education:
B.Tech in Computer Science, Delhi Technological University

Certifications:
PMP Certification","We are looking for a AI Engineer with at least 1 years of experience.
Required Skills: CUDA, MLOps, Kubernetes, Python, OpenCV, REST APIs.
Responsibilities include working on deep learning models, model training pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",9,80.1
"Professional Summary:
Results-driven Web Developer with 8 years of experience in
TypeScript, Tailwind CSS, CSS, React. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
TypeScript, Tailwind CSS, CSS, React, Node.js, REST APIs, Express.js, HTML, Time Management, Scrum

Experience:
Web Developer at Skyline Digital
- Optimized frontend components using Tailwind CSS, resulting in 15% cost savings.
- Created responsive UIs using Node.js, by 20%.
- Streamlined landing pages using MongoDB, improving performance by 40%.

Education:
B.Sc in Computer Science, VIT University

Certifications:
Oracle Certified Java Programmer","We are looking for a Web Developer with at least 3 years of experience.
Required Skills: Next.js, CSS, Express.js, Node.js, JavaScript, Git.
Responsibilities include working on frontend components, e-commerce platforms
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",8,80.5
"Professional Summary:
Results-driven Cloud Engineer with 7 years of experience in
Linux, EC2, Docker, Security. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Linux, EC2, Docker, Security, Kubernetes, Azure, Lambda, CloudFormation, Project Management, Problem Solving

Experience:
Cloud Engineer at Vertex Solutions
- Designed cloud security policies using Azure, across 5 production environments.
- Automated multi-region deployments using CloudFormation, improving performance by 40%.
- Deployed cloud infrastructure using Security, reducing latency by 25%.
- Designed cloud migrations using Python, reducing latency by 25%.

Education:
M.Tech in Computer Science, National Institute of Technology

Certifications:
AWS Certified Solutions Architect","We are looking for a Cloud Engineer with at least 4 years of experience.
Required Skills: EC2, Docker, S3, Python, Security, Networking.
Responsibilities include working on serverless architectures, auto-scaling systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",7,85.8
"Professional Summary:
Results-driven Web Developer with 7 years of experience in
TypeScript, Tailwind CSS, JavaScript, Express.js. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
TypeScript, Tailwind CSS, JavaScript, Express.js, MongoDB, Git, Webpack, HTML, Agile, Project Management

Experience:
Web Developer at CloudNine Technologies
- Developed responsive UIs using CSS, across 5 production environments.
- Created responsive UIs using Express.js, improving performance by 40%.

Education:
M.Sc in Data Science, Indian Institute of Technology

Certifications:
TensorFlow Developer Certificate","We are looking for a Web Developer with at least 5 years of experience.
Required Skills: HTML, Redux, REST APIs, Webpack, Express.js, React.
Responsibilities include working on e-commerce platforms, landing pages
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",7,87.4
"Professional Summary:
Results-driven Software Engineer with 9 years of experience in
Microservices, Agile, REST APIs, Git. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Microservices, Agile, REST APIs, Git, System Design, Java, C++, Python, Scrum, Problem Solving

Experience:
Software Engineer at DataWave Analytics
- Led backend services using Data Structures, for over 10,000 users.
- Built software modules using Python, across 5 production environments.
- Built backend services using Java, resulting in 15% cost savings.

Education:
MCA, Delhi Technological University

Certifications:
AWS Certified Solutions Architect","We are looking for a Software Engineer with at least 2 years of experience.
Required Skills: SQL, Git, Data Structures, Object Oriented Programming, Unit Testing, Microservices.
Responsibilities include working on automated tests, backend services
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",9,81.2
"Professional Summary:
Results-driven DevOps Engineer with 4 years of experience in
Azure DevOps, AWS, Git, Grafana. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Azure DevOps, AWS, Git, Grafana, Linux, Prometheus, Ansible, CI/CD, Communication, Problem Solving

Experience:
DevOps Engineer at Pinnacle IT Services
- Built monitoring systems using Bash Scripting, reducing latency by 25%.
- Designed deployment automation using Jenkins, resulting in 15% cost savings.

Education:
M.Sc in Data Science, Anna University

Certifications:
Google Data Analytics Certificate","We are looking for a DevOps Engineer with at least 3 years of experience.
Required Skills: GitLab CI, Grafana, Terraform, Kubernetes, Azure DevOps, Git.
Responsibilities include working on monitoring systems, infrastructure as code
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",4,71.4
"Professional Summary:
Results-driven Java Developer with 10 years of experience in
SQL, Multithreading, JUnit, Hibernate. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
SQL, Multithreading, JUnit, Hibernate, Microservices, Java, Kafka, Git, Team Leadership, Time Management

Experience:
Java Developer at DataWave Analytics
- Streamlined database integrations using Maven, for over 10,000 users.
- Streamlined backend systems using Microservices, for over 10,000 users.

Education:
M.Tech in Computer Science, Pune University

Certifications:
PMP Certification","We are looking for a Java Developer with at least 2 years of experience.
Required Skills: Kafka, Docker, Spring Boot, Git, Multithreading, Java.
Responsibilities include working on batch jobs, database integrations
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,85.3
"Professional Summary:
Results-driven Cloud Engineer with 11 years of experience in
Kubernetes, DevOps, AWS, Docker. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Kubernetes, DevOps, AWS, Docker, IAM, Linux, Terraform, EC2, Communication, Scrum

Experience:
Cloud Engineer at Skyline Digital
- Architected serverless architectures using EC2, for over 10,000 users.
- Engineered auto-scaling systems using Linux, by 35%.
- Managed cloud infrastructure using AWS, by 20%.
- Deployed cloud security policies using Google Cloud Platform, by 20%.

Education:
B.Tech in Computer Science, Indian Institute of Technology

Certifications:
Oracle Certified Java Programmer","We are looking for a Cloud Engineer with at least 1 years of experience.
Required Skills: Terraform, CloudFormation, IAM, AWS, DevOps, EC2.
Responsibilities include working on auto-scaling systems, cloud security policies
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",11,88.8
"Professional Summary:
Results-driven Cloud Engineer with 10 years of experience in
EC2, Networking, Google Cloud Platform, Terraform. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
EC2, Networking, Google Cloud Platform, Terraform, IAM, DevOps, Kubernetes, Azure, Project Management, Agile

Experience:
Cloud Engineer at Skyline Digital
- Improved multi-region deployments using S3, reducing latency by 25%.
- Led cloud security policies using DevOps, across 5 production environments.
- Architected cloud infrastructure using Linux, by 35%.

Education:
M.Tech in Computer Science, Indian Institute of Technology

Certifications:
Oracle Certified Java Programmer","We are looking for a Cloud Engineer with at least 4 years of experience.
Required Skills: EC2, IAM, CloudFormation, Lambda, Security, Kubernetes.
Responsibilities include working on serverless architectures, cloud infrastructure
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,82.1
"Professional Summary:
Results-driven Data Scientist with 7 years of experience in
Matplotlib, PyTorch, A/B Testing, Tableau. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Matplotlib, PyTorch, A/B Testing, Tableau, Power BI, Jupyter, Machine Learning, Python, Communication, Problem Solving

Experience:
Data Scientist at CloudNine Technologies
- Improved dashboards using Power BI, improving performance by 40%.
- Deployed dashboards using Power BI, improving performance by 40%.
- Engineered dashboards using Tableau, resulting in 15% cost savings.

Education:
B.E in Information Technology, Pune University

Certifications:
Scrum Master Certification","We are looking for a Data Scientist with at least 2 years of experience.
Required Skills: Statistics, Data Visualization, Matplotlib, Pandas, R, Power BI.
Responsibilities include working on machine learning models, predictive models
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",7,83.9
"Professional Summary:
Results-driven DevOps Engineer with 7 years of experience in
CI/CD, Ansible, Linux, Azure DevOps. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CI/CD, Ansible, Linux, Azure DevOps, Terraform, Jenkins, Prometheus, AWS, Team Leadership, Agile

Experience:
DevOps Engineer at DataWave Analytics
- Deployed CI/CD pipelines using AWS, across 5 production environments.
- Managed monitoring systems using Bash Scripting, by 35%.
- Built container orchestration using Terraform, for over 10,000 users.
- Streamlined release pipelines using Ansible, by 35%.

Education:
B.E in Information Technology, National Institute of Technology

Certifications:
TensorFlow Developer Certificate","We are looking for a DevOps Engineer with at least 2 years of experience.
Required Skills: Azure DevOps, Docker, CI/CD, Jenkins, Git, Ansible.
Responsibilities include working on monitoring systems, CI/CD pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",7,86.8
"Professional Summary:
Results-driven Data Scientist with 1 years of experience in
Jupyter, Scikit-learn, NumPy, SQL. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Jupyter, Scikit-learn, NumPy, SQL, Tableau, Data Visualization, Power BI, Machine Learning, Problem Solving, Time Management

Experience:
Data Scientist at TechCorp Solutions
- Developed recommendation systems using Statistics, for over 10,000 users.
- Led dashboards using Deep Learning, reducing latency by 25%.

Education:
B.Tech in Computer Science, Delhi Technological University

Certifications:
AWS Certified Solutions Architect","We are looking for a Data Scientist with at least 4 years of experience.
Required Skills: A/B Testing, Data Visualization, Jupyter, PyTorch, Pandas, Machine Learning.
Responsibilities include working on machine learning models, statistical analyses
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",1,63.8
"Professional Summary:
Results-driven Data Scientist with 4 years of experience in
SQL, Scikit-learn, PyTorch, Matplotlib. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
SQL, Scikit-learn, PyTorch, Matplotlib, A/B Testing, TensorFlow, NumPy, Tableau, Agile, Time Management

Experience:
Data Scientist at ByteForge Inc
- Led predictive models using Tableau, improving performance by 40%.
- Optimized predictive models using TensorFlow, reducing latency by 25%.

Education:
B.E in Information Technology, State Technical University

Certifications:
TensorFlow Developer Certificate","We are looking for a Data Scientist with at least 2 years of experience.
Required Skills: TensorFlow, A/B Testing, Machine Learning, Feature Engineering, Tableau, PyTorch.
Responsibilities include working on machine learning models, data pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",4,70.8
"Professional Summary:
Results-driven Data Scientist with 2 years of experience in
Tableau, Matplotlib, Scikit-learn, TensorFlow. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Tableau, Matplotlib, Scikit-learn, TensorFlow, Data Visualization, Power BI, NumPy, Deep Learning, Problem Solving, Time Management

Experience:
Data Scientist at Skyline Digital
- Engineered dashboards using Data Visualization, improving performance by 40%.
- Streamlined predictive models using Power BI, resulting in 15% cost savings.
- Improved predictive models using Deep Learning, reducing latency by 25%.

Education:
B.Tech in Electronics and Communication, VIT University

Certifications:
Oracle Certified Java Programmer","We are looking for a Data Scientist with at least 5 years of experience.
Required Skills: Python, A/B Testing, Statistics, Tableau, Machine Learning, Deep Learning.
Responsibilities include working on dashboards, data pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",2,76.3
"Professional Summary:
Results-driven Cloud Engineer with 4 years of experience in
Lambda, Networking, DevOps, AWS. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Lambda, Networking, DevOps, AWS, S3, Python, Linux, EC2, Agile, Team Leadership

Experience:
Cloud Engineer at Vertex Solutions
- Built multi-region deployments using S3, across 5 production environments.
- Implemented serverless architectures using Google Cloud Platform, reducing latency by 25%.

Education:
M.Tech in Computer Science, Pune University

Certifications:
Certified Kubernetes Administrator","We are looking for a Cloud Engineer with at least 1 years of experience.
Required Skills: S3, Networking, IAM, Linux, Docker, Python.
Responsibilities include working on cloud security policies, serverless architectures
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",4,78.7
"Professional Summary:
Results-driven Data Scientist with 3 years of experience in
Power BI, Scikit-learn, R, Data Visualization. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Power BI, Scikit-learn, R, Data Visualization, Tableau, Deep Learning, Machine Learning, TensorFlow, Scrum, Problem Solving

Experience:
Data Scientist at Innovate Systems
- Designed machine learning models using PyTorch, reducing latency by 25%.
- Engineered dashboards using Matplotlib, reducing latency by 25%.

Education:
B.Tech in Electronics and Communication, Pune University

Certifications:
Certified Kubernetes Administrator","We are looking for a Data Scientist with at least 5 years of experience.
Required Skills: Feature Engineering, Power BI, Machine Learning, PyTorch, A/B Testing, Tableau.
Responsibilities include working on recommendation systems, dashboards
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",3,68.1
"Professional Summary:
Results-driven Java Developer with 1 years of experience in
Design Patterns, Hibernate, Multithreading, Maven. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Design Patterns, Hibernate, Multithreading, Maven, MySQL, JUnit, Microservices, REST APIs, Project Management, Communication

Experience:
Java Developer at DataWave Analytics
- Architected Spring Boot microservices using JUnit, by 20%.
- Led REST APIs using Hibernate, resulting in 15% cost savings.
- Implemented batch jobs using Git, improving performance by 40%.
- Developed backend systems using Java, reducing latency by 25%.

Education:
B.Tech in Electronics and Communication, State Technical University

Certifications:
AWS Certified Solutions Architect","We are looking for a Java Developer with at least 1 years of experience.
Required Skills: Spring Boot, JUnit, Multithreading, REST APIs, Design Patterns, Kafka.
Responsibilities include working on backend systems, REST APIs
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",1,68.7
"Professional Summary:
Results-driven Cloud Engineer with 3 years of experience in
Google Cloud Platform, Azure, S3, AWS. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Google Cloud Platform, Azure, S3, AWS, Networking, DevOps, Linux, Security, Time Management, Project Management

Experience:
Cloud Engineer at ByteForge Inc
- Led cloud migrations using EC2, across 5 production environments.
- Built auto-scaling systems using IAM, by 35%.
- Streamlined serverless architectures using Security, by 35%.
- Designed auto-scaling systems using Python, by 20%.

Education:
M.Tech in Computer Science, State Technical University

Certifications:
TensorFlow Developer Certificate","We are looking for a Cloud Engineer with at least 4 years of experience.
Required Skills: DevOps, CloudFormation, AWS, Terraform, Linux, Azure.
Responsibilities include working on serverless architectures, cloud migrations
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",3,75.0
"Professional Summary:
Results-driven Java Developer with 0 years of experience in
Microservices, REST APIs, SQL, Kafka. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Microservices, REST APIs, SQL, Kafka, MySQL, JPA, Git, Design Patterns, Problem Solving, Project Management

Experience:
Java Developer at Quantum Softworks
- Managed batch jobs using JUnit, for over 10,000 users.
- Managed database integrations using Multithreading, across 5 production environments.
- Managed REST APIs using MySQL, resulting in 15% cost savings.
- Designed batch jobs using MySQL, resulting in 15% cost savings.

Education:
B.Sc in Computer Science, Pune University

Certifications:
Google Data Analytics Certificate","We are looking for a Java Developer with at least 5 years of experience.
Required Skills: REST APIs, Multithreading, JPA, Docker, Git, Design Patterns.
Responsibilities include working on REST APIs, backend systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",0,77.0
"Professional Summary:
Results-driven Cloud Engineer with 12 years of experience in
Security, S3, AWS, DevOps. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Security, S3, AWS, DevOps, Azure, Linux, Lambda, Terraform, Communication, Problem Solving

Experience:
Cloud Engineer at Innovate Systems
- Designed cloud infrastructure using S3, by 35%.
- Architected auto-scaling systems using DevOps, by 35%.
- Improved cloud infrastructure using AWS, improving performance by 40%.

Education:
B.E in Information Technology, VIT University

Certifications:
Google Data Analytics Certificate","We are looking for a Cloud Engineer with at least 5 years of experience.
Required Skills: Linux, Azure, AWS, EC2, Networking, CloudFormation.
Responsibilities include working on cloud migrations, auto-scaling systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",12,81.0
"Professional Summary:
Results-driven DevOps Engineer with 7 years of experience in
CI/CD, Azure DevOps, Terraform, Monitoring. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CI/CD, Azure DevOps, Terraform, Monitoring, Bash Scripting, Kubernetes, AWS, Prometheus, Communication, Problem Solving

Experience:
DevOps Engineer at DataWave Analytics
- Created container orchestration using Azure DevOps, by 35%.
- Improved deployment automation using Jenkins, improving performance by 40%.
- Delivered monitoring systems using CI/CD, across 5 production environments.

Education:
M.Tech in Computer Science, Indian Institute of Technology

Certifications:
TensorFlow Developer Certificate","We are looking for a DevOps Engineer with at least 2 years of experience.
Required Skills: Monitoring, Terraform, Bash Scripting, Azure DevOps, AWS, Ansible.
Responsibilities include working on infrastructure as code, container orchestration
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",7,73.0
"Professional Summary:
Results-driven Web Developer with 5 years of experience in
TypeScript, React, Webpack, Redux. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
TypeScript, React, Webpack, Redux, Node.js, Git, Express.js, Next.js, Scrum, Problem Solving

Experience:
Web Developer at ByteForge Inc
- Designed landing pages using REST APIs, improving performance by 40%.
- Engineered e-commerce platforms using Bootstrap, by 20%.
- Built single page applications using JavaScript, resulting in 15% cost savings.
- Improved e-commerce platforms using REST APIs, improving performance by 40%.

Education:
B.E in Information Technology, Pune University

Certifications:
PMP Certification","We are looking for a Web Developer with at least 4 years of experience.
Required Skills: REST APIs, Redux, Webpack, JavaScript, TypeScript, React.
Responsibilities include working on landing pages, single page applications
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",5,80.0
"Professional Summary:
Results-driven AI Engineer with 12 years of experience in
Kubernetes, MLOps, Python, TensorFlow. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Kubernetes, MLOps, Python, TensorFlow, REST APIs, Docker, Hugging Face, Model Deployment, Time Management, Project Management

Experience:
AI Engineer at ByteForge Inc
- Managed model training pipelines using TensorFlow, for over 10,000 users.
- Built AI inference services using NLP, for over 10,000 users.
- Streamlined AI inference services using OpenCV, improving performance by 40%.
- Built deep learning models using Transformers, resulting in 15% cost savings.

Education:
B.E in Information Technology, Pune University

Certifications:
TensorFlow Developer Certificate","We are looking for a AI Engineer with at least 4 years of experience.
Required Skills: Transformers, Flask, Model Deployment, Kubernetes, TensorFlow, Keras.
Responsibilities include working on chatbots, AI inference services
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",12,90.1
"Professional Summary:
Results-driven Software Engineer with 10 years of experience in
Git, Unit Testing, SQL, Agile. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Git, Unit Testing, SQL, Agile, Object Oriented Programming, Python, Algorithms, System Design, Project Management, Agile

Experience:
Software Engineer at ByteForge Inc
- Created APIs using Unit Testing, by 35%.
- Optimized internal tools using SQL, by 20%.
- Improved scalable systems using Python, by 35%.

Education:
M.Sc in Data Science, State Technical University

Certifications:
Certified Kubernetes Administrator","We are looking for a Software Engineer with at least 3 years of experience.
Required Skills: Python, Unit Testing, Object Oriented Programming, C++, System Design, Design Patterns.
Responsibilities include working on APIs, internal tools
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,85.2
"Professional Summary:
Results-driven DevOps Engineer with 10 years of experience in
CI/CD, Kubernetes, Infrastructure as Code, Docker. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CI/CD, Kubernetes, Infrastructure as Code, Docker, Git, Terraform, AWS, Monitoring, Scrum, Team Leadership

Experience:
DevOps Engineer at Skyline Digital
- Engineered CI/CD pipelines using Infrastructure as Code, by 35%.
- Delivered CI/CD pipelines using CI/CD, by 20%.
- Led infrastructure as code using Grafana, resulting in 15% cost savings.
- Engineered deployment automation using Azure DevOps, by 35%.

Education:
B.Tech in Electronics and Communication, Pune University

Certifications:
AWS Certified Solutions Architect","We are looking for a DevOps Engineer with at least 3 years of experience.
Required Skills: Ansible, Git, Grafana, Prometheus, Linux, AWS.
Responsibilities include working on deployment automation, monitoring systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,92.5
"Professional Summary:
Results-driven Software Engineer with 6 years of experience in
CI/CD, SQL, Algorithms, Git. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CI/CD, SQL, Algorithms, Git, Unit Testing, Object Oriented Programming, Agile, Design Patterns, Problem Solving, Team Leadership

Experience:
Software Engineer at Innovate Systems
- Managed software modules using Microservices, for over 10,000 users.
- Designed scalable systems using REST APIs, by 20%.
- Developed scalable systems using C++, by 20%.
- Implemented internal tools using Object Oriented Programming, improving performance by 40%.

Education:
B.E in Information Technology, National Institute of Technology

Certifications:
PMP Certification","We are looking for a Software Engineer with at least 5 years of experience.
Required Skills: Microservices, Agile, SQL, Unit Testing, Object Oriented Programming, Algorithms.
Responsibilities include working on automated tests, software modules
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",6,82.1
